,Ticker,Market Cap,Num Trades,Success Rate,Avg Return
135,DFS,large,22,0.5909090909090909,0.028249969744548895
136,DISCA,mid,33,0.3333333333333333,-0.003967287985044693
137,DISCK,mid,38,0.4473684210526316,0.0037754441902945446
138,DISH,large,37,0.4864864864864865,0.00022728354439281915
139,DG,large,32,0.5625,0.02540679001629923
140,DLTR,large,40,0.625,0.012695391103156813
141,D,large,35,0.5428571428571428,0.008457034155052166
142,DOV,large,33,0.6363636363636364,0.024079920096560258
143,DTE,large,32,0.65625,0.01464484664358007
144,DUK,large,38,0.5789473684210527,0.008420019579251892
145,DRE,mid,37,0.7027027027027027,0.0157753388193497
146,DXC,large,36,0.6944444444444444,0.02373175248422433
147,EMN,large,27,0.5925925925925926,0.011465477360718476
148,ETN,large,40,0.7,0.014446929424888566
149,EBAY,large,35,0.5142857142857142,0.026531270627536685
150,ECL,large,41,0.6097560975609756,0.016389950196108012
151,EIX,large,36,0.4722222222222222,0.002473884659477532
152,EW,large,36,0.6666666666666666,0.037825060182071504
153,EA,large,52,0.5576923076923077,0.016580219597795185
154,EMR,large,30,0.6,0.01663807329477115
155,ETR,large,36,0.5277777777777778,0.004300686441997655
156,EVHC,mid,17,0.47058823529411764,-0.02608999634824815
157,EOG,large,28,0.4642857142857143,-0.02484734013662684
158,EQT,large,47,0.46808510638297873,-0.007290142992577392
159,EFX,large,32,0.4375,0.016075219178710673
160,EQIX,large,32,0.71875,0.02293925162899997
161,EQR,large,38,0.5263157894736842,-0.001633879530516356
162,ESS,large,31,0.6774193548387096,0.012824686783596058
163,EL,large,40,0.65,0.01680515240005153
164,RE,large,37,0.4594594594594595,-0.0014806327372744535
165,ES,large,33,0.5454545454545454,0.015052498812176565
166,EXC,large,41,0.6585365853658537,0.011024977217519693
167,EXPE,large,36,0.5555555555555556,0.019812435897681318
168,EXPD,large,38,0.5526315789473685,0.01435553983677314
169,ESRX,large,19,0.42105263157894735,0.015700850262509437
170,EXR,large,29,0.6206896551724138,0.010256225707883662
171,XOM,mega,30,0.5666666666666667,-0.011774177962309115
172,FFIV,mid,30,0.5333333333333333,0.020981741300125194
173,FB,mega,32,0.65625,0.032802279441032665
174,FAST,large,35,0.4857142857142857,0.02342601501837055
175,FRT,mid,33,0.42424242424242425,-0.005045405578745547
176,FDX,large,38,0.5789473684210527,0.03066648161465572
177,FIS,large,40,0.625,0.015587930799343777
178,FITB,large,33,0.5454545454545454,0.021740540841604542
179,FE,large,31,0.6129032258064516,-0.006585529338970162
180,FISV,large,38,0.6052631578947368,0.02793403049420905
181,FLIR,mid,33,0.5454545454545454,0.02362381879856152
182,FLS,mid,25,0.56,0.0010221949315905683
183,FLR,mid,30,0.5333333333333333,-0.01943413032363452
184,FMC,large,39,0.6153846153846154,0.030347639995547827
185,FL,mid,29,0.41379310344827586,-0.013728911210377533
186,F,large,44,0.5454545454545454,0.004951539867365043
187,FTV,large,35,0.5142857142857142,0.012954735642637596
188,FBHS,mid,32,0.5,0.008523726438131131
189,BEN,large,40,0.4,-0.005584011571943636
190,FCX,large,24,0.5,0.028651340381279228
