,Ticker,Market Cap,Num Trades,Success Rate,Avg Return
217,HON,large,37,0.7567567567567568,0.021839520707686064
218,HRL,large,43,0.5813953488372093,0.007384991147483143
219,HST,large,39,0.48717948717948717,-0.0040453978479105665
220,HPQ,large,35,0.6285714285714286,0.018914236951954166
221,HUM,large,26,0.5769230769230769,0.02883058446417907
222,HBAN,large,37,0.43243243243243246,0.009200171230622107
223,HII,large,31,0.5483870967741935,0.008884810957134216
224,IDXX,large,33,0.696969696969697,0.05025931135571958
225,INFO,large,32,0.71875,0.027724840805208047
226,ITW,large,34,0.6470588235294118,0.023322289810770978
227,ILMN,large,29,0.5517241379310345,0.014436816587389031
228,INCY,large,31,0.41935483870967744,0.007521705857204369
229,IR,large,24,0.7083333333333334,0.03280448695308112
230,INTC,mega,36,0.5,0.01982873996112034
231,ICE,large,46,0.5,0.012026865236424563
232,IBM,large,35,0.5428571428571428,0.0032263244479688556
233,IP,large,25,0.6,0.019306670596096757
234,IPG,mid,48,0.5,0.008121009625132172
235,IFF,large,35,0.5142857142857142,0.0068109824844252535
236,INTU,large,26,0.6538461538461539,0.036457494034594966
237,ISRG,large,27,0.5925925925925926,0.044930795474984464
238,IVZ,large,36,0.5,0.005518897492928136
239,IQV,large,35,0.6571428571428571,0.0271834480583536
240,IRM,mid,30,0.6,0.029750407404027752
241,JBHT,large,30,0.6666666666666666,0.02549780988632073
242,SJM,large,37,0.43243243243243246,0.0014830106292112702
243,JNJ,mega,34,0.5882352941176471,0.013193118149690309
244,JCI,large,36,0.5,0.003194663018924555
245,JPM,mega,28,0.6428571428571429,0.03246815109346459
246,JNPR,mid,22,0.5909090909090909,0.011390371729540426
247,KSU,large,48,0.5625,0.014655287694542024
248,K,large,29,0.4482758620689655,0.015947142328579366
249,KEY,large,28,0.5357142857142857,0.017693999361369277
250,KMB,large,41,0.6097560975609756,0.013845183407431228
251,KIM,mid,25,0.56,-0.0010005367892654915
252,KMI,large,30,0.4666666666666667,0.0031135850336799654
253,KLAC,large,26,0.5769230769230769,0.06040128725398065
254,KSS,large,31,0.4838709677419355,0.016546015667350332
255,KHC,large,24,0.4583333333333333,-0.0072917937584264575
256,KR,large,37,0.43243243243243246,0.0012123229653685432
257,LB,large,30,0.5,-0.004106521151115838
258,LH,large,37,0.4594594594594595,0.015170802362261409
259,LRCX,large,25,0.6,0.07993618023008381
260,LEG,mid,36,0.6666666666666666,0.013834443948765079
261,LEN,large,30,0.6,0.014906516838018602
