,Symbol,Start Date,End Date,Buy Price,Sell Price,Change,Market Cap
24,CSX,2019-09-05,2019-12-11,66.74015045166016,70.57440185546875,0.057450445913899154,Large
25,CSX,2019-12-16,2020-01-07,71.61731719970703,71.82392883300781,0.0028849395841600506,Large
26,CSX,2020-01-15,2020-07-08,73.78187561035156,68.46414184570312,-0.07207371350562904,Large
27,CSX,2020-07-17,2020-08-07,71.49600219726562,72.25890350341797,0.010670544963443019,Large
28,CSX,2020-08-11,2020-09-08,74.44857025146484,74.82280731201172,0.005026786401442163,Large
29,CSX,2020-09-14,2020-09-24,78.50130462646484,76.13513946533203,-0.030141730413167124,Large
30,CSX,2020-09-28,2020-10-05,78.8691635131836,77.28839111328125,-0.02004297154284013,Large
31,CSX,2020-11-04,2020-12-07,84.33721160888672,91.76399230957031,0.08806054360826206,Large
32,CSX,2021-01-08,2021-03-09,95.5525894165039,92.73999786376953,-0.029435011336789395,Large
33,CSX,2021-03-10,2021-03-11,93.58999633789062,93.81999969482422,0.002457563478293194,Large
0,CMI,2016-04-14,2016-05-10,99.15660095214844,99.33833312988281,0.0018327794215341887,Large
1,CMI,2016-05-20,2016-06-24,94.4581069946289,96.45709228515625,0.021162665165849772,Large
2,CMI,2016-06-27,2016-08-31,92.31072235107422,110.54244995117188,0.19750389917607977,Large
3,CMI,2016-09-06,2016-10-26,102.9124526977539,111.34329986572266,0.081922517119765,Large
4,CMI,2016-11-02,2017-01-10,107.11906433105469,123.74575805664062,0.15521694321564125,Large
5,CMI,2017-01-24,2017-03-09,128.57821655273438,132.85557556152344,0.03326659152279321,Large
6,CMI,2017-03-20,2017-03-21,137.72024536132812,134.5247344970703,-0.02320291294772201,Large
7,CMI,2017-04-13,2017-05-30,129.0441436767578,141.36317443847656,0.09546369490874877,Large
8,CMI,2017-06-12,2017-07-27,144.15737915039062,148.9461669921875,0.03321916553991332,Large
9,CMI,2017-08-02,2018-03-27,141.7584991455078,145.50782775878906,0.026448704210904186,Large
